,Title,Year,Metascore,Rating,Votes
0,Inception,2010,74,8.8 ,
1, Shutter Island,2010,63,8.2 ,
2, Incendies,2010,80,8.3 ,
3, Despicable Me,2010,72,7.6 ,
4, Black Swan,2010,79,8.0 ,
5, Remember Me,2010,40,7.1 ,
6, Love & Other Drugs,2010,55,6.7 ,
7, Scott Pilgrim vs. the World,2010,69,7.6 ,
8, The Town,2010,74,7.5 ,
9,Inception,2010,74,8.8 ,
10, Shutter Island,2010,63,8.2 ,
11, Incendies,2010,80,8.3 ,
12, Despicable Me,2010,72,7.6 ,
13, Black Swan,2010,79,8.0 ,
14, Remember Me,2010,40,7.1 ,
15, Love & Other Drugs,2010,55,6.7 ,
16, Scott Pilgrim vs. the World,2010,69,7.6 ,
17, The Town,2010,74,7.5 ,
18,Inception,2010,74,8.8 ,
19, Shutter Island,2010,63,8.2 ,
20, Incendies,2010,80,8.3 ,
21, Despicable Me,2010,72,7.6 ,
22, Black Swan,2010,79,8.0 ,
23, Remember Me,2010,40,7.1 ,
24, Love & Other Drugs,2010,55,6.7 ,
25, Scott Pilgrim vs. the World,2010,69,7.6 ,
26, The Town,2010,74,7.5 ,
27,Inception,2010,74,8.8 ,
28, Shutter Island,2010,63,8.2 ,
29, Incendies,2010,80,8.3 ,
30, Despicable Me,2010,72,7.6 ,
31, Black Swan,2010,79,8.0 ,
32, Remember Me,2010,40,7.1 ,
33, Love & Other Drugs,2010,55,6.7 ,
34, Scott Pilgrim vs. the World,2010,69,7.6 ,
35, The Town,2010,74,7.5 ,
36,Inception,2010,74,8.8 ,
37, Shutter Island,2010,63,8.2 ,
38, Incendies,2010,80,8.3 ,
39, Despicable Me,2010,72,7.6 ,
40, Black Swan,2010,79,8.0 ,
41, Remember Me,2010,40,7.1 ,
42, Love & Other Drugs,2010,55,6.7 ,
43, Scott Pilgrim vs. the World,2010,69,7.6 ,
44, The Town,2010,74,7.5 ,
45, The Help,2011,62,8.1 ,
46, Rise of the Planet of the Apes,2011,68,7.6 ,
47, Drive,2011,79,7.8 ,
48," Crazy, Stupid, Love.",2011,68,7.4 ,
49, The Cabin in the Woods,2011,72,7.0 ,
50, Bridesmaids,2011,75,6.8 ,
51, The Help,2011,62,8.1 ,
52, Rise of the Planet of the Apes,2011,68,7.6 ,
53, Drive,2011,79,7.8 ,
54," Crazy, Stupid, Love.",2011,68,7.4 ,
55, The Cabin in the Woods,2011,72,7.0 ,
56, Bridesmaids,2011,75,6.8 ,
57, The Help,2011,62,8.1 ,
58, Rise of the Planet of the Apes,2011,68,7.6 ,
59, Drive,2011,79,7.8 ,
60," Crazy, Stupid, Love.",2011,68,7.4 ,
61, The Cabin in the Woods,2011,72,7.0 ,
62, Bridesmaids,2011,75,6.8 ,
63, The Help,2011,62,8.1 ,
64, Rise of the Planet of the Apes,2011,68,7.6 ,
65, Drive,2011,79,7.8 ,
66," Crazy, Stupid, Love.",2011,68,7.4 ,
67, The Cabin in the Woods,2011,72,7.0 ,
68, Bridesmaids,2011,75,6.8 ,
69, The Help,2011,62,8.1 ,
70, Rise of the Planet of the Apes,2011,68,7.6 ,
71, Drive,2011,79,7.8 ,
72," Crazy, Stupid, Love.",2011,68,7.4 ,
73, The Cabin in the Woods,2011,72,7.0 ,
74, Bridesmaids,2011,75,6.8 ,
